subject,predicate,object
CyC2018_CS-Notes,has_contributor,Vongfong
sdmg15_Best-websites-a-programmer-should-visit,has_license,MIT License
sdmg15_Best-websites-a-programmer-should-visit,has_tag,books
sdmg15_Best-websites-a-programmer-should-visit,has_tag,cs
sdmg15_Best-websites-a-programmer-should-visit,has_tag,hacktoberfest
sdmg15_Best-websites-a-programmer-should-visit,has_tag,links
sdmg15_Best-websites-a-programmer-should-visit,has_tag,programmer
sdmg15_Best-websites-a-programmer-should-visit,has_tag,sites
sdmg15_Best-websites-a-programmer-should-visit,has_stars,75630
sdmg15_Best-websites-a-programmer-should-visit,has_url,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,sdmg15
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,ityler
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,rachmadaniHaryono
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,lalitmee
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Eaglesight02
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,srinivasreddy
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Ankk98
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,nejos97
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Jimbo1167
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,douglasg14b
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,iArunava
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,visnu
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,cool00geek
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,mmis1000
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,panipaddev
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,rozhnev
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,PTK12
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,matanpramp
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,MariaAbadi
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,nguyenvanduocit
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Alkahwaji
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Abinashbunty
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,aalhour
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,aurelien-ldp
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,imbdb
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Bhavesh0327
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,bjornhansen
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,zcallan
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,rahilsh
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,RokKos
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,smoqadam
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,shovanch
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,flyingcakes85
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,therrance
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Tormyst
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,kiper
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,agarrigu
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,aman9v
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,awesome-bot
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,berryxmas
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,ChippChirp
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,icarrr
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,jprojs
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,jiwooshim
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,kathrynvargas
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,kk-r
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,ll01
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,mostevercxz
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,shinobiultra
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,vikitor566
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Manan-Rathi
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,HackPotter
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,cyrilbois
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Dawa12
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,adambadura
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,NinjaSoulPirate
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,AmineAfia
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,amitmerchant1990
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,AnanthaRajuC
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,eon01
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,CaseyBennington
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Chethangc
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,daniel1302
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,luckytiger1
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,DiegoSalazar
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Dilshan1997
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,dorianm
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,pckilgore
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,DevMukhtarr
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,pragyaSingh13
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,QuincyLarson
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,miguelpalazzo
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,miguelff
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,loidsemus
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,mikhail-bot
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Paradoxis
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,lorensr
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,theDreamer911
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,GantMan
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,fffelix-jan
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,EricBergi
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,zv1n
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,taylorhelene
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Surajv311
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,msumeet
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Srishti2128
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,thesohelshaikh
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,simran-pandey
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,simonsarris
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Sean12697
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Saurabh-hooda
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,Sampad-Adhikary
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,0shuvo0
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,TheAnton205
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,thomas-alrek
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,timwis
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,TomZille
sdmg15_Best-websites-a-programmer-should-visit,has_contributor,tomassabat
